County,Date,Field_ID,Sex,Size_cm,Waterway,City,Probable_Cause
Volusia,2024-04-16,MNE24013,F,100,Strickland Creek,Ormond Beach,Perinatal (<= 150 cm)
Hillsborough,2024-04-16,MNW24061,M,125,Alafia River,Riverview,Perinatal (<= 150 cm)
Franklin,2024-04-16,MNW24062,M,150,Scipio Creek,Apalachicola,Perinatal (<= 150 cm)
Brevard,2024-04-17,MEC24045,F,125,Indian River,Melbourne,Perinatal (<= 150 cm)
Volusia,2024-04-17,MNE24014,F,260,St. Johns River,Pierson,Verified; Not Necropsied
Citrus,2024-04-17,MNW24063,M,237,Homosassa River,Homosassa,Human Related: Watercraft Collision
Volusia,2024-04-18,MEC24046,U,280,Indian River North,Oak Hill,Verified; Not Necropsied
Brevard,2024-04-18,MEC24047,U,320,Banana River,Cocoa Beach,Human Related: Other
Okeechobee,2024-04-18,MSE24029,M,135,Taylor Creek,Okeechobee,Perinatal (<= 150 cm)
Broward,2024-04-19,MSE24030,F,215,C-9 canal,Pembroke Pines,Human Related: Other
Volusia,2024-04-20,MNE24015,F,281,Spring Garden Creek,DeLeon Springs,Human Related: Watercraft Collision
Brevard,2024-04-21,MEC24048,M,113,Turkey Creek,Palm Bay,Perinatal (<= 150 cm)
Monroe,2024-04-21,MSE24031,F,275,Blackwater Sound,Key Largo,Verified; Not Necropsied
Volusia,2024-04-22,MNE24016,M,133,Tomoka River,Ormond Beach,Perinatal (<= 150 cm)
Brevard,2024-04-23,MEC24049,F,318,Turkey Creek,Palm Bay,Human Related: Watercraft Collision
Putnam,2024-04-23,MNE24017,F,120,St. Johns River,Palatka,Perinatal (<= 150 cm)
Martin,2024-04-23,MSE24032,F,208,Indian River,Stuart,Undetermined: Too Decomposed
Sarasota,2024-04-23,MSW24058,F,145,Grand Canal,Siesta Key,Perinatal (<= 150 cm)
Duval,2024-04-24,MNE24018,F,355,St. Johns River,Jacksonville,Human Related: Watercraft Collision
Brevard,2024-04-25,MEC24050,U,320,Banana Creek,Titusville,Verified; Not Necropsied
Brevard,2024-04-25,MEC24051,F,320,Banana River,Merritt Island,Verified; Not Necropsied
Volusia,2024-04-26,MEC24052,M,130,Indian River North,Oak Hill,Perinatal (<= 150 cm)
Volusia,2024-04-26,MNE24019,F,125,Little Tomoka River,Ormond Beach,Perinatal (<= 150 cm)
Pinellas,2024-04-26,MNW24064,F,221,Tampa Bay,Tierra Verde,Human Related: Watercraft Collision
Lake,2024-04-27,MEC24053,F,120,St. Johns River,Astor,Perinatal (<= 150 cm)
Volusia,2024-04-28,MEC24054,F,289,Indian River,North Oak Hill,Human Related: Watercraft Collision
Manatee,2024-04-28,MNW24066,F,335,Tillette Bayou,Terra Ceia,Verified; Not Necropsied
Lee,2024-04-28,MSW24049,F,290,Shell Creek,Ft. Myers,Undetermined: Other
Brevard,2024-04-29,MEC24055,F,355,Eau Gallie River,Melbourne,Undetermined: Too Decomposed
